candidate_id,badge,engine_key,drivetrain,transmission_type,gearbox_marketing_name,gearbox_architecture,gearbox_exact_code,gearbox_exact_code_status,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,reverse_ratio,final_drive_ratio,mass_din_kg,mass_eu_kg,tire_size,wheel_radius_m,drag_coefficient,frontal_area_m2,zero_100_kph_s,zero_1000m_s,eighty_120_4th_s,eighty_120_5th_s,top_speed_kph,electronic_limiter,source_id,data_class,notes
428i_n20b20_rwd_6mt,428i,n20b20_180,RWD,6mt,BMW six-speed manual,conventional_manual,,not_retained_in_research_record,3.498,2.005,1.313,1.000,0.809,0.701,,,3.187,3.909,1450,1525,225/50 R17,0.3284,0.29,2.16,5.9,25.4,5.3,6.9,250,true,BMW_F32_LAUNCH_201306,factory_exact,
428i_n20b20_rwd_8at,428i,n20b20_180,RWD,8at,BMW eight-speed Sports automatic,planetary_torque_converter_automatic,,not_retained_in_research_record,4.714,3.143,2.106,1.667,1.285,1.000,0.839,0.667,3.295,3.154,1470,1545,225/50 R17,0.3284,0.29,2.16,5.8,25.6,,,250,true,BMW_F32_LAUNCH_201306,factory_exact,
428i_n20b20_xdrive_8at,428i,n20b20_180,xDrive,8at,BMW eight-speed Sports automatic,planetary_torque_converter_automatic,,not_retained_in_research_record,4.714,3.143,2.106,1.667,1.285,1.000,0.839,0.667,3.295,3.154,1540,1615,225/50 R17,0.3284,0.30,2.16,5.8,25.6,,,250,true,BMW_F32_LAUNCH_201306,factory_exact,
435i_n55b30_rwd_6mt,435i,n55b30_225,RWD,6mt,BMW six-speed manual,conventional_manual,,not_retained_in_research_record,4.110,2.315,1.542,1.179,1.000,0.846,,,3.727,3.231,1510,1585,225/50 R17,0.3284,0.30,2.16,5.4,24.3,5.0,5.9,250,true,BMW_F32_LAUNCH_201306,factory_exact,
435i_n55b30_rwd_8at,435i,n55b30_225,RWD,8at,BMW eight-speed Sports automatic,planetary_torque_converter_automatic,,not_retained_in_research_record,4.714,3.143,2.106,1.667,1.285,1.000,0.839,0.667,3.295,3.154,1525,1600,225/50 R17,0.3284,0.30,2.16,5.1,24.2,,,250,true,BMW_F32_LAUNCH_201306,factory_exact,
435i_n55b30_xdrive_8at,435i,n55b30_225,xDrive,8at,BMW eight-speed Sports automatic,planetary_torque_converter_automatic,,not_retained_in_research_record,4.714,3.143,2.106,1.667,1.285,1.000,0.839,0.667,3.295,3.154,1590,1665,225/50 R17,0.3284,0.30,2.16,4.9,24.3,,,250,true,BMW_F32_LAUNCH_201306,factory_exact,
420d_n47d20_rwd_6mt,420d,n47d20_135,RWD,6mt,BMW six-speed manual,conventional_manual,,not_retained_in_research_record,4.110,2.248,1.403,1.000,0.802,0.659,,,3.727,3.231,1450,1525,225/50 R17,0.3284,0.28,2.16,7.5,27.9,5.9,7.5,240,false,BMW_F32_LAUNCH_201306,factory_exact,
420d_n47d20_rwd_8at,420d,n47d20_135,RWD,8at,BMW eight-speed Sports automatic,planetary_torque_converter_automatic,,not_retained_in_research_record,4.714,3.143,2.106,1.667,1.285,1.000,0.839,0.667,3.295,2.813,1465,1540,225/50 R17,0.3284,0.28,2.16,7.3,27.7,,,232,false,BMW_F32_LAUNCH_201306,factory_exact,
